"observation.date","Species","Country","Serotype","source","flu","geometry","X","Y","serotype_HN"
2024-04-19,"Mute Swan:cygnus Olor(Anatidae)","Slovenia","H5N1 HPAI","fao",1,"c(4813459.22659276, 2623555.30198308)",4813459.22659276,2623555.30198308,"H5N1"
2024-04-18,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4237794.90152635, 3031551.52609913)",4237794.90152635,3031551.52609913,"H5N1"
2024-04-09,"Stork","Poland","H5N1 HPAI","fao",1,"c(5142801.9253407, 3211851.99089659)",5142801.9253407,3211851.99089659,"H5N1"
2024-04-09,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4489195.09700558, 3130441.08337629)",4489195.09700558,3130441.08337629,"H5N1"
2024-04-05,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4241387.82204325, 3029270.53597541)",4241387.82204325,3029270.53597541,"H5N1"
2024-04-05,"Eurasian Sparrowhawk:accipiter Nisus(Accipitridae)","United Kingdom","H5N1 HPAI","fao",1,"c(3450410.03222207, 3274003.09687625)",3450410.03222207,3274003.09687625,"H5N1"
2024-04-04,"Eurasian Buzzard (Common Buzzard):Buteo Buteo(Accipitridae)","Norway","H5N1 HPAI","fao",1,"c(4074911.14231944, 3979728.53027933)",4074911.14231944,3979728.53027933,"H5N1"
2024-04-02,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4487763.60625917, 3131507.26723332)",4487763.60625917,3131507.26723332,"H5N1"
2024-04-02,"Greylag Goose:anser Anser(Anatidae)","Latvia","H5N1 HPAI","fao",1,"c(5207112.90344133, 3954787.94016785)",5207112.90344133,3954787.94016785,"H5N1"
2024-04-02,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4073931.68794994, 3132206.67388395)",4073931.68794994,3132206.67388395,"H5N1"
2024-03-27,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4453275.82760859, 2885721.11905988)",4453275.82760859,2885721.11905988,"H5N1"
2024-03-27,"Ciconiidae (Unidentified):Ciconiidae(Incognita)(Ciconiidae)","Moldova  Republic of","H5N1 HPAI","fao",1,"c(5730235.98267032, 2726159.68753346)",5730235.98267032,2726159.68753346,"H5N1"
2024-03-26,"Stork","Romania","H5N1 HPAI","fao",1,"c(5210909.84941604, 2734381.38261305)",5210909.84941604,2734381.38261305,"H5N1"
2024-03-22,"Charadriidae (Unidentified):Charadriidae (Incognita)(Charadriidae)","Germany","H5N1 HPAI","fao",1,"c(4289492.12732747, 3484970.27343758)",4289492.12732747,3484970.27343758,"H5N1"
2024-03-22,"Eurasian Buzzard (Common Buzzard):Buteo Buteo(Accipitridae)","Denmark","H5N1 HPAI","fao",1,"c(4353477.77472713, 3565416.2353368)",4353477.77472713,3565416.2353368,"H5N1"
2024-03-19,"Herring Gull:larus Argentatus(Laridae)","United Kingdom","H5N5 HPAI","fao",1,"c(3589586.55762595, 3667748.84099766)",3589586.55762595,3667748.84099766,"H5N5"
2024-03-18,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4487066.13598158, 3131484.49313144)",4487066.13598158,3131484.49313144,"H5N1"
2024-03-16,"Charadriidae (Unidentified):Charadriidae (Incognita)(Charadriidae)","Germany","H5N1 HPAI","fao",1,"c(4289492.12732747, 3484970.27343758)",4289492.12732747,3484970.27343758,"H5N1"
2024-03-15,"Whooper Swan:cygnus Cygnus(Anatidae)","Romania","H5N1 HPAI","fao",1,"c(5606275.2759166, 2516283.99391666)",5606275.2759166,2516283.99391666,"H5N1"
2024-03-15,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4484240.71603817, 3132506.40112384)",4484240.71603817,3132506.40112384,"H5N1"
2024-03-15,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,"c(4182729.62763097, 3411165.43919848)",4182729.62763097,3411165.43919848,"H5N1"
2024-03-13,"Mute Swan:cygnus Olor(Anatidae)","Hungary","H5N1 HPAI","fao",1,"c(4874968.68141276, 2727242.18409371)",4874968.68141276,2727242.18409371,"H5N1"
2024-03-13,"Mute Swan:cygnus Olor(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4461138.09649749, 3570973.02611454)",4461138.09649749,3570973.02611454,"H5N1"
2024-03-12,"Accipitridae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4510212.71269451, 2867396.67474413)",4510212.71269451,2867396.67474413,"H5N1"
2024-03-11,"Lesser Black-Backed Gull:larus Fuscus(Laridae)","Denmark","H5N1 HPAI","fao",1,"c(4379121.88145908, 3558572.17265851)",4379121.88145908,3558572.17265851,"H5N1"
2024-03-09,"Eurasian Buzzard (Common Buzzard):Buteo Buteo(Accipitridae)","Denmark","H5N1 HPAI","fao",1,"c(4462136.33058468, 3662830.90009336)",4462136.33058468,3662830.90009336,"H5N1"
2024-03-07,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4488497.4822848, 3130418.11413943)",4488497.4822848,3130418.11413943,"H5N1"
2024-03-07,"Accipitridae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4640161.78459539, 3186729.68700816)",4640161.78459539,3186729.68700816,"H5N1"
2024-03-07,"Mute Swan:cygnus Olor(Anatidae)","Czech Republic","H5N1 HPAI","fao",1,"c(4690146.16850321, 3010506.81621985)",4690146.16850321,3010506.81621985,"H5N1"
2024-03-07,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,"c(4289492.12732747, 3484970.27343758)",4289492.12732747,3484970.27343758,"H5N1"
2024-03-07,"Kite","United Kingdom","H5N5 HPAI","fao",1,"c(3491092.68405959, 3950952.42216761)",3491092.68405959,3950952.42216761,"H5N5"
2024-03-07,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4141320.330439, 3403547.15427771)",4141320.330439,3403547.15427771,"H5N1"
2024-03-06,"Mute Swan:cygnus Olor(Anatidae)","Poland","H5N1 HPAI","fao",1,"c(5158409.93970319, 3472347.1950424)",5158409.93970319,3472347.1950424,"H5N1"
2024-03-06,"Whooper Swan:cygnus Cygnus(Anatidae)","Romania","H5N1 HPAI","fao",1,"c(5602568.14408469, 2759764.71569447)",5602568.14408469,2759764.71569447,"H5N1"
2024-03-06,"Whooper Swan:cygnus Cygnus(Anatidae)","Romania","H5N1 HPAI","fao",1,"c(5594062.30813864, 2762865.95317731)",5594062.30813864,2762865.95317731,"H5N1"
2024-03-04,"Buzzard","Poland","H5N1 HPAI","fao",1,"c(5003452.63329204, 3296047.21206819)",5003452.63329204,3296047.21206819,"H5N1"
2024-03-04,"Buzzard","Poland","H5N1 HPAI","fao",1,"c(4730174.90581188, 3486572.34024726)",4730174.90581188,3486572.34024726,"H5N1"
2024-03-04,"Buzzard","United Kingdom","H5N5 HPAI","fao",1,"c(3527158.64806264, 3721489.90664177)",3527158.64806264,3721489.90664177,"H5N5"
2024-03-04,"Herring Gull:larus Argentatus(Laridae)","France","H5N1 HPAI","fao",1,"c(3494130.19204647, 2718841.19031894)",3494130.19204647,2718841.19031894,"H5N1"
2024-03-03,"Buzzard","Denmark","H5N1 HPAI","fao",1,"c(4424056.26917249, 3621947.32155443)",4424056.26917249,3621947.32155443,"H5N1"
2024-03-02,"Eurasian Sparrowhawk:accipiter Nisus(Accipitridae)","Denmark","H5N1 HPAI","fao",1,"c(4484160.25345735, 3612723.81069172)",4484160.25345735,3612723.81069172,"H5N1"
2024-03-02,"Mute Swan:cygnus Olor(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4459784.35562347, 3557525.9600202)",4459784.35562347,3557525.9600202,"H5N1"
2024-03-01,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4491650.86881652, 3140542.00717434)",4491650.86881652,3140542.00717434,"H5N1"
2024-03-01,"Magpie","Denmark","H5N1 HPAI","fao",1,"c(4230702.90828938, 3730626.21731554)",4230702.90828938,3730626.21731554,"H5N1"
2024-02-29,"Mute Swan:cygnus Olor(Anatidae)","Romania","H5N1 HPAI","fao",1,"c(5554501.22769186, 2783624.22745138)",5554501.22769186,2783624.22745138,"H5N1"
2024-02-29,"Accipitridae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4321663.35568288, 3379140.87423697)",4321663.35568288,3379140.87423697,"H5N1"
2024-02-29,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4289492.12732747, 3484970.27343758)",4289492.12732747,3484970.27343758,"H5N1"
2024-02-28,"Mute Swan:cygnus Olor(Anatidae)","Ukraine","H5N1 HPAI","fao",1,"c(5754626.52254113, 2687182.42232694)",5754626.52254113,2687182.42232694,"H5N1"
2024-02-28,"Mute Swan:cygnus Olor(Anatidae)","Slovenia","H5N1 HPAI","fao",1,"c(4777389.73785821, 2603998.39867613)",4777389.73785821,2603998.39867613,"H5N1"
2024-02-28,"Charadriidae (Unidentified):Charadriidae (Incognita)(Charadriidae)","Germany","H5N8 HPAI","fao",1,"c(4289492.12732747, 3484970.27343758)",4289492.12732747,3484970.27343758,"H5N8"
2024-02-27,"Buzzard","Poland","H5N1 HPAI","fao",1,"c(4793902.20320303, 3372584.84347384)",4793902.20320303,3372584.84347384,"H5N1"
2024-02-27,"Buzzard","Denmark","H5N1 HPAI","fao",1,"c(4403897.48381298, 3603481.62581809)",4403897.48381298,3603481.62581809,"H5N1"
2024-02-26,"Mute Swan:cygnus Olor(Anatidae)","Austria","H5N1 HPAI","fao",1,"c(4676287.33197857, 2795756.94296112)",4676287.33197857,2795756.94296112,"H5N1"
2024-02-26,"Charadriidae (Unidentified):Charadriidae (Incognita)(Charadriidae)","Germany","H5N1 HPAI","fao",1,"c(4289492.12732747, 3484970.27343758)",4289492.12732747,3484970.27343758,"H5N1"
2024-02-24,"Mute Swan:cygnus Olor(Anatidae)","Hungary","H5N1 HPAI","fao",1,"c(4875108.363169, 2724145.5888943)",4875108.363169,2724145.5888943,"H5N1"
2024-02-23,"Greylag Goose:anser Anser(Anatidae)","Austria","H5N1 HPAI","fao",1,"c(4731907.3138948, 2877706.0765063)",4731907.3138948,2877706.0765063,"H5N1"
2024-02-22,"Mute Swan:cygnus Olor(Anatidae)","Czech Republic","H5N1 HPAI","fao",1,"c(4838267.98798461, 2893551.09239787)",4838267.98798461,2893551.09239787,"H5N1"
2024-02-22,"Mute Swan:cygnus Olor(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4443253.73809787, 3546384.96060202)",4443253.73809787,3546384.96060202,"H5N1"
2024-02-22,"Charadriidae (Unidentified):Charadriidae (Incognita)(Charadriidae)","Germany","H5N1 HPAI","fao",1,"c(4289492.12732747, 3484970.27343758)",4289492.12732747,3484970.27343758,"H5N1"
2024-02-21,"Swan","Germany","H5N1 HPAI","fao",1,"c(4286135.70329836, 3133349.30722865)",4286135.70329836,3133349.30722865,"H5N1"
2024-02-21,"Mute Swan:cygnus Olor(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4437872.7330527, 3563871.30545223)",4437872.7330527,3563871.30545223,"H5N1"
2024-02-21,"Falcon","Norway","H5 HPAI","fao",1,"c(4070640.76064697, 3967596.36109801)",4070640.76064697,3967596.36109801,"H5"
2024-02-20,"Eurasian Buzzard (Common Buzzard):Buteo Buteo(Accipitridae)","Hungary","H5N1 HPAI","fao",1,"c(4953854.19271675, 2715005.93362574)",4953854.19271675,2715005.93362574,"H5N1"
2024-02-20,"Eurasian Sparrowhawk:accipiter Nisus(Accipitridae)","United Kingdom","H5N5 HPAI","fao",1,"c(3524337.75301889, 3447972.65003649)",3524337.75301889,3447972.65003649,"H5N5"
2024-02-19,"Mute Swan:cygnus Olor(Anatidae)","Poland","H5N1 HPAI","fao",1,"c(4861727.85262306, 3544551.53304544)",4861727.85262306,3544551.53304544,"H5N1"
2024-02-19,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4289492.12732747, 3484970.27343758)",4289492.12732747,3484970.27343758,"H5N1"
2024-02-19,"Buzzard","United Kingdom","H5N5 HPAI","fao",1,"c(3618642.07944046, 3447681.44547251)",3618642.07944046,3447681.44547251,"H5N5"
2024-02-16,"Whooper Swan:cygnus Cygnus(Anatidae)","Romania","H5N1 HPAI","fao",1,"c(5598900.74735793, 2507429.14766779)",5598900.74735793,2507429.14766779,"H5N1"
2024-02-16,"Mute Swan:cygnus Olor(Anatidae)","Slovenia","H5N1 HPAI","fao",1,"c(4776477.71762938, 2605418.76853114)",4776477.71762938,2605418.76853114,"H5N1"
2024-02-16,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,"c(4127662.21867178, 3374117.13771865)",4127662.21867178,3374117.13771865,"H5N1"
2024-02-15,"Ardeidae (Unspecified)","Germany","H5N1 HPAI","fao",1,"c(4276918.33859275, 3115619.670073)",4276918.33859275,3115619.670073,"H5N1"
2024-02-15,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4289492.12732747, 3484970.27343758)",4289492.12732747,3484970.27343758,"H5N1"
2024-02-15,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N5 HPAI","fao",1,"c(4212498.71676042, 3531755.82760089)",4212498.71676042,3531755.82760089,"H5N5"
2024-02-15,"Mute Swan:cygnus Olor(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4386369.98115072, 3523245.10953304)",4386369.98115072,3523245.10953304,"H5N1"
2024-02-14,"Herring Gull:larus Argentatus(Laridae)","France","H5N1 HPAI","fao",1,"c(3485402.19572343, 3012648.6775977)",3485402.19572343,3012648.6775977,"H5N1"
2024-02-14,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4283658.06415064, 3413339.70928534)",4283658.06415064,3413339.70928534,"H5N1"
2024-02-14,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4289492.12732747, 3484970.27343758)",4289492.12732747,3484970.27343758,"H5N1"
2024-02-14,"Strigidae (Unidentified):Strigidae (Incognita)(Strigidae)","Austria","H5N1 HPAI","fao",1,"c(4825804.8540792, 2850787.8392697)",4825804.8540792,2850787.8392697,"H5N1"
2024-02-14,"Barnacle Goose:branta Leucopsis(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4261190.12067298, 3745360.40721247)",4261190.12067298,3745360.40721247,"H5N1"
2024-02-14,"Mew Gull (Larus Canus)","Denmark","H5N1 HPAI","fao",1,"c(4403302.4214146, 3572975.77595075)",4403302.4214146,3572975.77595075,"H5N1"
2024-02-14,"Greylag Goose:anser Anser(Anatidae)","Netherlands","H5N1 HPAI","fao",1,"c(4035773.68945958, 3340773.57200839)",4035773.68945958,3340773.57200839,"H5N1"
2024-02-14,"Canada Goose:branta Canadensis(Anatidae)","Netherlands","H5N1 HPAI","fao",1,"c(4046973.08833479, 3371345.17035036)",4046973.08833479,3371345.17035036,"H5N1"
2024-02-14,"Canada Goose:branta Canadensis(Anatidae)","Netherlands","H5N1 HPAI","fao",1,"c(4060318.48490935, 3359457.73725318)",4060318.48490935,3359457.73725318,"H5N1"
2024-02-13,"Mew Gull (Larus Canus)","Romania","H5N1 HPAI","fao",1,"c(5594276.72345714, 2504721.92311868)",5594276.72345714,2504721.92311868,"H5N1"
2024-02-13,"Teal","Italy","H5N1 HPAI","fao",1,"c(4520702.44820471, 2491691.77755773)",4520702.44820471,2491691.77755773,"H5N1"
2024-02-13,"Mute Swan:cygnus Olor(Anatidae)","Slovenia","H5N1 HPAI","fao",1,"c(4774072.21708312, 2606597.6947263)",4774072.21708312,2606597.6947263,"H5N1"
2024-02-12,"Mute Swan:cygnus Olor(Anatidae)","Poland","H5N1 HPAI","fao",1,"c(4955786.46780685, 3427132.52959941)",4955786.46780685,3427132.52959941,"H5N1"
2024-02-12,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4532381.44737592, 3261136.26405355)",4532381.44737592,3261136.26405355,"H5N1"
2024-02-12,"Herring Gull:larus Argentatus(Laridae)","United Kingdom","H5N1 HPAI","fao",1,"c(3593343.00653234, 3196802.99785011)",3593343.00653234,3196802.99785011,"H5N1"
2024-02-12,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,"c(4168441.18768905, 3401603.48858434)",4168441.18768905,3401603.48858434,"H5N1"
2024-02-10,"Barnacle Goose:branta Leucopsis(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4416519.58491345, 3526694.90930882)",4416519.58491345,3526694.90930882,"H5N1"
2024-02-09,"Mute Swan:cygnus Olor(Anatidae)","Czech Republic","H5N1 HPAI","fao",1,"c(4716617.08245823, 3021174.93736843)",4716617.08245823,3021174.93736843,"H5N1"
2024-02-09,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4297935.07783755, 3410355.90702616)",4297935.07783755,3410355.90702616,"H5N1"
2024-02-09,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4258110.00291084, 3486394.98249301)",4258110.00291084,3486394.98249301,"H5N1"
2024-02-09,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4322887.82511602, 3467500.38969914)",4322887.82511602,3467500.38969914,"H5N1"
2024-02-09,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4289492.12732747, 3484970.27343758)",4289492.12732747,3484970.27343758,"H5N1"
2024-02-08,"Goshawk","Sweden","H5N1 HPAI","fao",1,"c(4695009.65327663, 3706174.46940895)",4695009.65327663,3706174.46940895,"H5N1"
2024-02-08,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4429652.19837472, 3385933.87885353)",4429652.19837472,3385933.87885353,"H5N1"
2024-02-08,"Mute Swan:cygnus Olor(Anatidae)","Hungary","H5N1 HPAI","fao",1,"c(4861961.6763149, 2759542.90876729)",4861961.6763149,2759542.90876729,"H5N1"
2024-02-08,"Mute Swan:cygnus Olor(Anatidae)","Poland","H5N1 HPAI","fao",1,"c(4872853.06864733, 3546839.13077133)",4872853.06864733,3546839.13077133,"H5N1"
2024-02-08,"Buzzard","Denmark","H5N1 HPAI","fao",1,"c(4366423.87412998, 3579127.98413769)",4366423.87412998,3579127.98413769,"H5N1"
2024-02-08,"Greylag Goose:anser Anser(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4411285.04216315, 3602854.27125908)",4411285.04216315,3602854.27125908,"H5N1"
2024-02-08,"Eurasian Buzzard (Common Buzzard):Buteo Buteo(Accipitridae)","Denmark","H5N1 HPAI","fao",1,"c(4402226.19376576, 3616027.57976752)",4402226.19376576,3616027.57976752,"H5N1"
2024-02-07,"Mute Swan:cygnus Olor(Anatidae)","Ukraine","H5N1 HPAI","fao",1,"c(5857969.36330069, 2796600.91262726)",5857969.36330069,2796600.91262726,"H5N1"
2024-02-07,"Anatidae (Incognita)","Slovenia","H5N1 HPAI","fao",1,"c(4775774.21125547, 2604025.28661697)",4775774.21125547,2604025.28661697,"H5N1"
2024-02-07,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4296388.1483584, 3429504.74282491)",4296388.1483584,3429504.74282491,"H5N1"
2024-02-07,"Mute Swan:cygnus Olor(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4439476.42664449, 3516915.94948248)",4439476.42664449,3516915.94948248,"H5N1"
2024-02-07,"Barn Owl (Tyto Alba)","Denmark","H5N1 HPAI","fao",1,"c(4241712.04148551, 3557741.82208742)",4241712.04148551,3557741.82208742,"H5N1"
2024-02-07,"Canada Goose:branta Canadensis(Anatidae)","Netherlands","H5N1 HPAI","fao",1,"c(3980052.44354832, 3232784.44735115)",3980052.44354832,3232784.44735115,"H5N1"
2024-02-07,"Greylag Goose:anser Anser(Anatidae)","Netherlands","H5N1 HPAI","fao",1,"c(3987353.66210216, 3228943.07526829)",3987353.66210216,3228943.07526829,"H5N1"
2024-02-07,"Mallard:anas Platyrhynchos(Anatidae)","Netherlands","H5N1 HPAI","fao",1,"c(3984695.79506526, 3220196.97804836)",3984695.79506526,3220196.97804836,"H5N1"
2024-02-06,"Mute Swan:cygnus Olor(Anatidae)","Bosnia and Herzegovina","H5N1 HPAI","fao",1,"c(4905456.6742331, 2475568.54047104)",4905456.6742331,2475568.54047104,"H5N1"
2024-02-06,"Whooper Swan:cygnus Cygnus(Anatidae)","Romania","H5N1 HPAI","fao",1,"c(5544815.03835152, 2780560.81942164)",5544815.03835152,2780560.81942164,"H5N1"
2024-02-06,"Accipitridae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4341173.05443222, 2823545.46246105)",4341173.05443222,2823545.46246105,"H5N1"
2024-02-06,"Mute Swan:cygnus Olor(Anatidae)","Slovenia","H5N1 HPAI","fao",1,"c(4779584.89851851, 2604364.05740474)",4779584.89851851,2604364.05740474,"H5N1"
2024-02-06,"Great Egret (Ardea Alba)","Slovenia","H5N1 HPAI","fao",1,"c(4772823.39195364, 2607189.42412275)",4772823.39195364,2607189.42412275,"H5N1"
2024-02-06,"Greylag Goose:anser Anser(Anatidae)","Czech Republic","H5N1 HPAI","fao",1,"c(4643694.31828395, 2885779.54727245)",4643694.31828395,2885779.54727245,"H5N1"
2024-02-06,"Charadriidae (Unidentified):Charadriidae (Incognita)(Charadriidae)","Germany","H5N1 HPAI","fao",1,"c(4289492.12732747, 3484970.27343758)",4289492.12732747,3484970.27343758,"H5N1"
2024-02-06,"Barnacle Goose:branta Leucopsis(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4416076.17548055, 3568013.81075323)",4416076.17548055,3568013.81075323,"H5N1"
2024-02-05,"Mute Swan:cygnus Olor(Anatidae)","Poland","H5N1 HPAI","fao",1,"c(5216314.7022853, 3000025.08608043)",5216314.7022853,3000025.08608043,"H5N1"
2024-02-05,"Charadriidae (Unidentified):Charadriidae (Incognita)(Charadriidae)","Germany","H5N1 HPAI","fao",1,"c(4329613.52067854, 3384712.70669977)",4329613.52067854,3384712.70669977,"H5N1"
2024-02-05,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,"c(4485906.86746713, 3407581.23369024)",4485906.86746713,3407581.23369024,"H5N1"
2024-02-05,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4289492.12732747, 3484970.27343758)",4289492.12732747,3484970.27343758,"H5N1"
2024-02-05,"Barnacle Goose:branta Leucopsis(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4289033.42549701, 3583988.39651514)",4289033.42549701,3583988.39651514,"H5N1"
2024-02-05,"Barnacle Goose:branta Leucopsis(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4388199.42810732, 3620627.83315819)",4388199.42810732,3620627.83315819,"H5N1"
2024-02-05,"Barnacle Goose:branta Leucopsis(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4459454.81837776, 3542218.32939357)",4459454.81837776,3542218.32939357,"H5N1"
2024-02-05,"Mute Swan:cygnus Olor(Anatidae)","Sweden","H5N1 HPAI","fao",1,"c(4697472.93012676, 3715836.50225695)",4697472.93012676,3715836.50225695,"H5N1"
2024-02-04,"Greylag Goose:anser Anser(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4284953.17742245, 3771244.3195608)",4284953.17742245,3771244.3195608,"H5N1"
2024-02-04,"Barnacle Goose:branta Leucopsis(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4235900.44088408, 3761946.04452386)",4235900.44088408,3761946.04452386,"H5N1"
2024-02-03,"Mute Swan:cygnus Olor(Anatidae)","Austria","H5N1 HPAI","fao",1,"c(4836546.33379187, 2809164.02556759)",4836546.33379187,2809164.02556759,"H5N1"
2024-02-03,"Mute Swan:cygnus Olor(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4463208.48570521, 3572227.06657778)",4463208.48570521,3572227.06657778,"H5N1"
2024-02-03,"Herring Gull:larus Argentatus(Laridae)","Denmark","H5N1 HPAI","fao",1,"c(4476617.62825627, 3646686.8768262)",4476617.62825627,3646686.8768262,"H5N1"
2024-02-03,"Barnacle Goose:branta Leucopsis(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4483817.38091789, 3614493.18349735)",4483817.38091789,3614493.18349735,"H5N1"
2024-02-02,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,"c(4289492.12732747, 3484970.27343758)",4289492.12732747,3484970.27343758,"H5N1"
2024-02-02,"Peregrin Falcon:falco Peregrinus(Falconidae)","Cyprus","H5N1 HPAI","fao",1,"c(6363316.86261575, 1600150.85263451)",6363316.86261575,1600150.85263451,"H5N1"
2024-02-02,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4257231.34659857, 3469712.62972249)",4257231.34659857,3469712.62972249,"H5N1"
2024-02-02,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4260135.55938446, 3442963.54365927)",4260135.55938446,3442963.54365927,"H5N1"
2024-02-02,"Mute Swan:cygnus Olor(Anatidae)","Austria","H5N1 HPAI","fao",1,"c(4646057.70853203, 2801295.91852994)",4646057.70853203,2801295.91852994,"H5N1"
2024-02-01,"Mute Swan:cygnus Olor(Anatidae)","Poland","H5N1 HPAI","fao",1,"c(4816800.93200872, 3197176.31920796)",4816800.93200872,3197176.31920796,"H5N1"
2024-02-01,"Swan","Germany","H5N1 HPAI","fao",1,"c(4157225.3293751, 3152784.07333479)",4157225.3293751,3152784.07333479,"H5N1"
2024-02-01,"Mute Swan:cygnus Olor(Anatidae)","Sweden","H5N1 HPAI","fao",1,"c(4776890.91522733, 4050710.72985928)",4776890.91522733,4050710.72985928,"H5N1"
2024-02-01,"Accipitridae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4268461.62180862, 3420828.10907636)",4268461.62180862,3420828.10907636,"H5N1"
2024-01-31,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4154599.18125224, 3142627.65612641)",4154599.18125224,3142627.65612641,"H5N1"
2024-01-31,"Mute Swan:cygnus Olor(Anatidae)","Sweden","H5N1 HPAI","fao",1,"c(4784027.32606946, 4051983.33644206)",4784027.32606946,4051983.33644206,"H5N1"
2024-01-31,"Mute Swan:cygnus Olor(Anatidae)","Czech Republic","H5N1 HPAI","fao",1,"c(4817212.34532043, 2883355.73026067)",4817212.34532043,2883355.73026067,"H5N1"
2024-01-31,"Herring Gull:larus Argentatus(Laridae)","Denmark","H5N1 HPAI","fao",1,"c(4453312.97647573, 3630199.98876704)",4453312.97647573,3630199.98876704,"H5N1"
2024-01-31,"Barnacle Goose:branta Leucopsis(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4438095.09638019, 3612359.35681999)",4438095.09638019,3612359.35681999,"H5N1"
2024-01-31,"Greylag Goose:anser Anser(Anatidae)","Denmark","H5N1 HPAI","fao",1,"c(4420143.5271006, 3575709.33716158)",4420143.5271006,3575709.33716158,"H5N1"
2024-01-31,"Sulids (Sulidae)","Germany","H5N1 HPAI","fao",1,"c(4289492.12732747, 3484970.27343758)",4289492.12732747,3484970.27343758,"H5N1"
2024-01-31,"Crane","Israel","H5N1 HPAI","fao",1,"c(6696396.80992141, 1510640.11734499)",6696396.80992141,1510640.11734499,"H5N1"
2024-01-31,"Anatidae (Incognita)","Germany","H5N1 HPAI","fao",1,"c(4341772.94571217, 3480454.82135562)",4341772.94571217,3480454.82135562,"H5N1"
2024-01-30,"Mute Swan:cygnus Olor(Anatidae)","Ukraine","H5N1 HPAI","fao",1,"c(5972738.01150214, 2983280.35606061)",5972738.01150214,2983280.35606061,"H5N1"
2024-01-30,"Laridae (Unidentified):Laridae (Incognita)(Laridae)","Germany","H5N1 HPAI","fao",1,"c(4400766.12490909, 3369785.16887421)",4400766.12490909,3369785.16887421,"H5N1"
